brandName,os,osVersion,screenSizeInInches,displayType,resolutionInPixels,pixelDensity,rearCamera,frontCamera,batteryCapacity,fastCharging,cpuSpeed,processorCores,ramCapacity,gpuType,weight,internalStorage,externalStorage,yearOfRelease,price
Realme,Android,9,6.4,Super AMOLED,1080 x 2340,403,64 + 8 + 2 + 2,32,4000,Yes,2.2 GHz,Octa,6 GB,Adreno 618,182,64GB,256 GB,2019,19990
Realme,Android,9,6.4,Super AMOLED,1080 x 2340,403,64 + 8 + 2 + 2,32,4000,Yes,2.2 GHz,Octa,6 GB,Adreno 618,182,256GB,256 GB,2019,19999
Samsung,Android,9,6.3,FHD Plus,1080 x 2340,409,32 + 8 + 5,16,3500,Yes,2.0 GHz,Octa,6GB,Adreno 612,NA,128GB,1 TB,2019,15999
POCO,Android,10,6.67,NA,1080x2400,395,64 + 2 + 8 + 2,20 + 2,4500,USB,"2x2.2 GHz, 6x1.8 GHz",Octa-core,6 GB,Adreno 618,208,128 GB,NA,2020,18499
POCO,Android,10,6.67,NA,1080x2400,395,64 + 2 + 8 + 2,20 + 2,4500,USB,"2x2.2 GHz, 6x1.8 GHz",Octa-core,6 GB,Adreno 618,208,64 GB,NA,2020,20936
POCO,Android,10,6.67,NA,1080x2400,395,64 + 2 + 8 + 2,20 + 2,4500,USB,"2x2.2 GHz, 6x1.8 GHz",Octa-core,8 GB,Adreno 618,208,256 GB,NA,2020,21499
OnePlus,Android,10,6.44,NA,1080 x 2400,402,48 + 8 + 5 + 2,32,4115,Yes,"1x2.4 GHz, 1x2.2 GHz, 6x1.8 GHz",Octa-core,6 GB,Adreno 620,184,64GB,NA,2020,24999
OnePlus,Android,10,6.44,NA,1080 x 2400,402,48 + 8 + 5 + 2,32,4115,Yes,"1x2.4 GHz, 1x2.2 GHz, 6x1.8 GHz",Octa-core,8 GB,Adreno 620,184,128 GB,NA,2020,27999
OnePlus,Android,10,6.44,NA,1080 x 2400,402,48 + 8 + 5 + 2,32,4115,Yes,"1x2.4 GHz, 1x2.2 GHz, 6x1.8 GHz",Octa-core,12 GB,Adreno 620,184,256GB,NA,2020,29999
Asus,Android,9.0,6.4,IPS,1080 X 2340,403,48 + 13,NA,5000,Yes,2.84,octa,6GB,Adreno 640,190,128GB,1 TB,2019,30999
Asus,Android,9.0,6.4,IPS,1080 X 2340,403,48 + 13,NA,5000,Yes,2.84,octa,4GB,Adreno 640,190,64GB,1 TB,2019,27999
Asus,Android,9.0,6.4,IPS,1080 X 2340,403,48 + 13,48 + 13,5000,Yes,2.84,octa,8GB,Adreno 640,190,256GB,1 TB,2019,34999
Asus,Android,9,6.59,IPS,1080 x 2340,391,48 + 13,24,6000,Yes,2.96GHz,octa,8 GB,Adreno 640,240,128GB,NA,2019,39999
Asus,Android,9,6.59,IPS,1080 x 2340,391,48 + 13,24,6000,Yes,2.96GHz,octa,12GB,Adreno 640,240,256GB,NA,2019,10000
Asus,Android,9,6.59,IPS,1080 x 2340,391,48 + 13,24,6000,Yes,2.96GHz,octa,12GB,Adreno 640,240,512GB,NA,2019,59999
Vivo,Android,9,6.35,FHD Plus,720 x 1544,268,13 + 8 + 2,8,5000,Yes,NA,Octa,4 GB,NA,191,64 GB,NA,2019,12990
Vivo,Android,9,6.35,FHD Plus,720 x 1544,NA,13 + 8 + 2,NA,5000,Yes,NA,octa,3 GB,NA,NA,32GB,NA,2019,10490
Oppo,Android,9,6.5,IPS,NA,NA,12 + 8 + 2 + 2,8,5000,NA,NA,octa,4 GB,NA,NA,64GB,256 GB,2019,11990
Oppo,Android,10,6.5,NA,1080 x 2400,480,48 + 8 + 2 + 2,16,5000,Yes,"4x2.0 GHz, 4x1.8 GHz",Octa-core,8 GB,Adreno 610,192,128 GB,NA,2020,21990
Realme,Android,10,6.50,NA,720 x 1560,264,12 + 2,5,5000,NA,"2x2.0 GHz, 6x1.7 GHz",Octa-core,3 GB,Mali-G52 2EEMC2,195,32 GB,NA,2020,9614
Xiaomi,Android,Android 9.0,6.01,IPS,720 X 1560,286,48 + 8 + 2,32,4030,Yes,2.0 GHz,Octa-core,4 GB,Adreno 610,173.8,64GB,256 GB,2019,12999
Xiaomi,Android,Android 9.0,6.01,IPS,720 X 1560,286,48 + 8 + 2,32,4030,Yes,2.0 GHz,Octa-core,6 GB,Adreno 610,173.8,128GB,256 GB,2019,17065
Vivo,Android,9,6.35,IPS,720 X 1544,268,8 + 13  +2,16,5000,NA,2.0,octa,4GB,PowerVR GE8320,190.5,64 GB,256GB,2019,12990
Samsung,Android,9,6.4,FHD Plus,1080 x 2400,411,48 + 8 + 5,16,6000,Yes,2.3 GHz,octa,6 GB,Mali-G72 MP3,NA,128GB,512GB,2019,16999
Samsung,Android,9,6.4,FHD Plus,1080 x 2400,411,48 + 8 + 5,16,6000,Yes,2.3 GHz,octa,4 GB,Mali-G72 MP3,NA,64GB,512GB,2019,14082
